id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
179,2026-06-05T02:03:18.574063+00:00,,66,empathy,100,67,67,83,2,2,2,2,2,3,3,3,2,3
180,2026-06-05T02:23:31.149133+00:00,en,48,social_skills,56,44,33,67,1,2,1,1,1,2,1,2,2,2
181,2026-06-05T08:30:26.168+00:00,,,empathy,67,56,50,17,1,1,3,1,2,2,1,3,1,0
182,2026-06-05T11:40:33.587823+00:00,en,11,self_regulation,11,33,83,83,1,2,0,3,2,1,0,0,3,2
183,2026-06-05T14:06:00.054548+00:00,en,111,self_regulation,67,78,83,50,2,2,3,2,3,2,2,2,2,1
184,2026-06-05T15:19:33.492827+00:00,en,53,self_awareness,0,22,17,0,2,0,0,1,0,0,0,0,0,0
185,2026-06-06T03:15:58.83432+00:00,en,77,self_regulation,78,78,83,83,2,3,2,2,3,2,3,2,2,3
186,2026-06-06T03:50:17.462106+00:00,en,62,self_awareness,78,89,67,50,3,3,2,2,2,3,2,2,3,0
187,2026-06-06T12:55:51.786296+00:00,,52,self_regulation,56,44,67,50,2,2,0,2,2,1,2,2,2,1
188,2026-06-06T14:27:59.858151+00:00,en,111,self_awareness,44,78,17,17,2,3,2,1,0,1,3,0,1,0
189,2026-06-06T14:40:10.936859+00:00,,55,self_awareness,78,89,67,50,3,2,3,2,2,3,2,2,2,1
190,2026-06-06T20:21:52.895916+00:00,en,55,self_awareness,89,100,100,83,3,3,3,3,3,3,3,2,2,3
191,2026-06-06T21:15:20.573827+00:00,en,255,empathy,33,22,17,33,1,1,0,0,1,1,1,1,1,1
192,2026-06-07T06:53:32.719089+00:00,en,98,empathy,100,89,67,50,2,3,3,2,2,3,3,3,2,1
193,2026-06-07T10:44:32.535795+00:00,en,49,self_awareness,56,78,17,33,2,2,3,1,0,1,2,2,0,2
194,2026-06-07T11:50:06.013367+00:00,en,183,self_regulation,44,78,83,50,3,2,2,2,3,1,2,1,2,1
195,2026-06-07T13:02:16.102192+00:00,en,257,social_skills,22,33,33,67,0,1,2,1,1,1,1,0,2,2
196,2026-06-07T13:11:03.378305+00:00,en,46,self_awareness,100,100,67,50,3,3,3,2,2,3,3,3,2,1
197,2026-06-07T14:30:04.595366+00:00,en,68,self_awareness,100,100,67,100,3,3,3,2,2,3,3,3,3,3
198,2026-06-07T16:23:44.089545+00:00,en,56,self_awareness,89,89,33,67,3,2,3,1,1,3,2,3,3,1
199,2026-06-07T21:58:46.925801+00:00,,65,self_awareness,89,100,50,67,3,3,3,2,1,3,2,3,2,2
200,2026-06-07T23:08:21.557154+00:00,,37,empathy,100,89,50,50,3,2,3,2,1,3,3,3,2,1
201,2026-06-08T09:10:34.40552+00:00,en,53,self_awareness,100,100,83,100,3,3,3,3,2,3,3,3,3,3
202,2026-06-08T09:18:01.785544+00:00,,44,self_awareness,56,78,67,67,3,2,2,2,2,2,2,1,2,2
203,2026-06-08T11:03:52.358062+00:00,en,59,self_awareness,67,100,33,83,3,3,3,2,0,2,2,2,2,3
